family,label,tail,d_n_active_features,d_edge_density,d_mean_top50_score,d_top10_over_top50,d_layer_entropy,d_mean_error_node_weight,d_logit_gap,d_layer_stats_mean,d_layer_stats_std,d_layer_stats_median,d_layer_stats_entropy_bits,d_topk20_score_total,d_topk20_score_gini,d_density_at_0.50,d_density_at_0.60,d_density_at_0.70,d_density_at_0.80,d_density_at_0.90,d_density_at_0.95,d_density_at_0.99,d_n_kept_at_0.50,d_n_kept_at_0.60,d_n_kept_at_0.70,d_n_kept_at_0.80,d_n_kept_at_0.90,d_n_kept_at_0.95,d_n_kept_at_0.99
geometry_claim,false,answer_colon,355.8333333333333,-0.008778429235671919,0.0059015836360049425,0.10520367086507708,0.08401978251776294,-0.005928362409273784,0.29141976495911476,-0.18712041062980203,-0.19316873419641567,-0.3333333333333333,-0.028312202534029957,0.22686266976719102,0.1001182852922932,0.008213142693518175,-0.018412816007674023,-0.015720782689868734,-0.00829637820794355,-0.0027081469583342724,0.0009176211964008844,0.004599024434635839,-22.0,-2.5,49.166666666666664,146.0,244.83333333333334,228.5,72.16666666666667
geometry_claim,false,the_answer_is,317.1666666666667,-0.010170508543504255,0.006221997553244971,0.13353971411715648,0.05790919379951317,0.0015161434809366863,0.08315420320213912,-0.19257092039170023,-0.2112145170612294,-0.16666666666666666,-0.030841834789868756,0.23782480303877188,0.11778918192773136,0.00299994446003915,-0.009305186159042763,-0.014368061721668166,-0.010446114968647563,-0.005129994728204019,-0.0018854293822686923,0.0010662826630539468,-47.666666666666664,-51.666666666666664,-26.666666666666668,61.666666666666664,162.5,156.0,39.0
geometry_claim,false,true_or_false,38.0,-0.012338728848376807,0.0010744248045496836,0.11997986277143254,-0.2376505376773932,0.006580049792925517,-1.3753113301808695,-0.248422793552913,-0.23337541244138263,-0.3333333333333333,-0.03135291615665695,0.03495215773333863,0.2120979219850062,-0.020578014837381847,-0.017259025825636463,-0.016445507632226592,-0.014101646429235254,-0.012569020565006117,-0.01198983399564873,-0.011257110540101306,-10.666666666666666,0.0,15.166666666666666,41.166666666666664,59.666666666666664,51.5,26.5
geometry_claim,true,answer_colon,343.0,-0.008076762432099052,0.0061854823210160245,0.08821610626741609,0.12939808112310658,-0.00806012749671936,1.9889946001884395,-0.17722893492796477,-0.17237575611161216,-0.16666666666666666,-0.02882051688352168,0.2349632664506013,0.08903432486740852,0.01435680050226574,-0.018594095091256396,-0.012687388239948383,-0.007324627118408557,-0.0014496329396324152,0.0016366214922696974,0.004844126320220743,-27.0,-12.833333333333334,30.166666666666668,115.66666666666667,212.33333333333334,206.16666666666666,62.166666666666664
geometry_claim,true,the_answer_is,283.1666666666667,-0.008876549487693654,0.006486213833995862,0.12663897673351496,0.05326321686109462,0.0025341610113779702,1.4765192035143546,-0.19027176875683693,-0.20070179785038475,-0.3333333333333333,-0.0310085274607171,0.24851425824696585,0.10812553761041506,0.006579765039244669,-0.006697123004684076,-0.011121436250220199,-0.009045173915152522,-0.004732721284719628,-0.0020654817052071783,0.0006476383454222338,-59.166666666666664,-73.0,-61.5,8.333333333333334,98.33333333333333,108.66666666666667,22.0
geometry_claim,true,true_or_false,29.833333333333332,-0.01272239280490293,0.0010348936358362457,0.11867125681350447,-0.2497156038658971,0.006348609924316406,-1.3539495178495826,-0.2514576577515104,-0.22975501868776074,-0.3333333333333333,-0.03212879887146839,0.03362207695742351,0.21028848206474593,-0.023036843996016017,-0.01838277263477148,-0.017050876975015627,-0.014488784882907496,-0.012295840722939674,-0.011812427172944914,-0.011201846334413346,-9.833333333333334,3.8333333333333335,20.333333333333332,47.666666666666664,66.33333333333333,53.666666666666664,25.666666666666668
numeric_open,true,answer_colon,166.8,-0.0013554084033878815,-1.2401591050807218e-06,0.051363518866339136,-0.3756575906295211,-0.013916109999020895,-3.6391839121348792,-0.22837031668079982,-0.1782117503242168,-0.8333333333333334,-0.020226721968267084,-3.2401804363805614e-05,0.054826909306086934,-0.0010245750336547639,-0.007149181297115604,-0.006027899079896306,-0.0013380765987342706,0.002837291602279222,0.004784277737541991,0.007167904951701962,17.333333333333332,51.96666666666667,106.56666666666666,168.23333333333332,190.0,145.83333333333334,43.266666666666666
numeric_validity,false,answer_colon,465.5128205128205,0.005306527250623418,0.004407926389058747,0.07698160475007984,0.14991313800996564,-0.002300147826854999,-4.3816022078691965,-0.281420471704031,-0.1629002952659123,0.0,-0.031159314630213722,0.1615179272720035,0.09415910091604224,0.022240873107724567,0.0037182244102218994,0.004395204176156973,0.006586559608594304,0.004459754816770369,0.004230965619666944,0.004796430352260003,-34.282051282051285,-46.58974358974359,-50.69230769230769,-39.76923076923077,4.0256410256410255,29.615384615384617,2.230769230769231
numeric_validity,false,the_answer_is,251.0,-0.0005863588803059764,0.004461659014594914,0.12245568551023403,0.2584170091682114,0.009320202546241956,-2.5285882102043096,-0.2775121487294913,-0.16873178121582327,0.0,-0.02873746628252637,0.15201677781974118,0.15307219011651654,0.0023122695878385426,-0.00015712020560461942,-0.0014071022477988894,0.000106560233807575,-0.0004710337959855691,-0.00041783927881730365,-0.0007996782777368324,-86.51282051282051,-120.87179487179488,-146.87179487179486,-158.15384615384616,-139.02564102564102,-99.43589743589743,-45.07692307692308
numeric_validity,false,true_or_false,12.615384615384615,-0.014348673375121369,0.0013477852509706095,0.11740733884744418,-0.11921836837829061,0.009900003671646118,-2.127791035630377,-0.38148602499940854,-0.2487270534444462,-0.8974358974358975,-0.04242437090496694,0.04446901823774123,0.1997646581074496,-0.038509545133406785,-0.02334492545075751,-0.018678282831458077,-0.01593209946317992,-0.013876323643512892,-0.011621564825651366,-0.009694195578384615,-17.384615384615383,-11.897435897435898,4.076923076923077,27.153846153846153,60.92307692307692,50.84615384615385,20.666666666666668
numeric_validity,true,answer_colon,494.3076923076923,0.007081083317614954,0.0056220654248933825,0.019027444595359613,0.08982808777339449,-0.006760434462473943,-0.8800404532665558,-0.2688252568350229,-0.1495709689790046,-0.05128205128205128,-0.030645877319426626,0.20626914596934326,0.008104760773301014,0.025888073593606065,0.006787981119777494,0.006409577883471168,0.008467524811411326,0.004996294793834318,0.004715379914350191,0.005256788442651435,-33.205128205128204,-43.794871794871796,-39.69230769230769,-30.82051282051282,10.794871794871796,37.48717948717949,9.58974358974359
numeric_validity,true,the_answer_is,239.66666666666666,-0.00590582932592178,0.0058756534519932005,0.1284511731902979,0.13236100531099318,0.009463394299531594,-0.14706767476784172,-0.28643413689281016,-0.17255338120644578,-0.07692307692307693,-0.029675623979539403,0.21246893633216155,0.1433957467297898,0.013107128417274882,-0.011479116525476351,-0.00748203134898384,-0.005886639042948556,-0.003502421165814543,-0.002668309719771602,-0.0023033831176097652,-92.82051282051282,-131.48717948717947,-151.07692307692307,-152.97435897435898,-118.23076923076923,-75.07692307692308,-30.0
numeric_validity,true,true_or_false,35.30769230769231,-0.016024853316671653,0.0013610728929481224,0.12896926291191702,-0.05801557462172152,0.009920325034703964,-2.021233831315446,-0.38431002743083886,-0.24187464500524725,-0.9743589743589743,-0.043052340606249295,0.04484025448418367,0.21123537657062286,-0.03643446618919723,-0.022536742905792034,-0.020222792274792702,-0.01789213369364008,-0.01581883559427213,-0.013534603080157187,-0.011520769891861585,-31.897435897435898,-34.38461538461539,-29.102564102564102,-8.205128205128204,25.923076923076923,26.333333333333332,14.871794871794872
