run_id,layer,position,feature_idx,frequency,question_ids
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,2,16200,20,"M-01,M-02,M-03,M-04,M-05,M-06,M-07,M-08,M-09,M-10,M-11,M-12,M-13,M-14,M-15,M-16,M-17,M-18,M-19,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,1,16229,20,"M-01,M-02,M-03,M-04,M-05,M-06,M-07,M-08,M-09,M-10,M-11,M-12,M-13,M-14,M-15,M-16,M-17,M-18,M-19,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,1,6083,20,"M-01,M-02,M-03,M-04,M-05,M-06,M-07,M-08,M-09,M-10,M-11,M-12,M-13,M-14,M-15,M-16,M-17,M-18,M-19,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,1,1,11660,20,"M-01,M-02,M-03,M-04,M-05,M-06,M-07,M-08,M-09,M-10,M-11,M-12,M-13,M-14,M-15,M-16,M-17,M-18,M-19,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,1,6421,20,"M-01,M-02,M-03,M-04,M-05,M-06,M-07,M-08,M-09,M-10,M-11,M-12,M-13,M-14,M-15,M-16,M-17,M-18,M-19,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,1,6381,19,"M-01,M-02,M-03,M-04,M-05,M-06,M-07,M-08,M-10,M-11,M-12,M-13,M-14,M-15,M-16,M-17,M-18,M-19,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,1,11167,17,"M-01,M-02,M-03,M-04,M-05,M-06,M-09,M-10,M-11,M-12,M-13,M-14,M-15,M-16,M-17,M-18,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,1,10345,16,"M-03,M-04,M-05,M-06,M-07,M-08,M-09,M-10,M-11,M-12,M-13,M-14,M-15,M-16,M-17,M-18"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,1,8489,15,"M-01,M-02,M-03,M-04,M-05,M-06,M-09,M-10,M-11,M-12,M-14,M-15,M-16,M-17,M-18"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,1,4855,9,"M-02,M-03,M-04,M-05,M-06,M-09,M-10,M-15,M-16"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,27,6051,6,"M-11,M-12,M-14,M-17,M-18,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,1,24,14349,6,"M-11,M-12,M-14,M-17,M-18,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,24,27,4640,6,"M-11,M-12,M-14,M-17,M-18,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,16,27,9223,6,"M-11,M-12,M-14,M-17,M-18,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,2,26,13635,6,"M-11,M-12,M-14,M-17,M-18,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,18,8922,6,"M-11,M-12,M-14,M-17,M-18,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,21,27,2997,6,"M-11,M-12,M-14,M-17,M-18,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,19,27,14265,6,"M-11,M-12,M-14,M-17,M-18,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,18,27,3066,6,"M-11,M-12,M-14,M-17,M-18,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,19,2158,6,"M-11,M-12,M-14,M-17,M-18,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,3,2606,4,"M-01,M-02,M-03,M-04"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,1,7344,4,"M-01,M-02,M-03,M-04"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,23,6051,4,"M-03,M-04,M-09,M-10"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,1,20,14349,4,"M-03,M-04,M-09,M-10"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,24,23,4640,4,"M-03,M-04,M-09,M-10"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,16,23,9223,4,"M-03,M-04,M-09,M-10"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,14,8922,4,"M-03,M-04,M-09,M-10"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,21,23,2997,4,"M-03,M-04,M-09,M-10"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,2,22,13635,4,"M-03,M-04,M-09,M-10"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,15,2158,4,"M-03,M-04,M-09,M-10"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,8,2,6513,4,"M-05,M-06,M-11,M-12"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,32,6051,4,"M-07,M-08,M-16,M-19"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,1,29,14349,4,"M-07,M-08,M-16,M-19"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,24,32,4640,4,"M-07,M-08,M-16,M-19"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,2,31,13635,4,"M-07,M-08,M-16,M-19"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,16,32,9223,4,"M-07,M-08,M-16,M-19"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,21,32,2997,4,"M-07,M-08,M-16,M-19"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,23,8922,4,"M-07,M-08,M-16,M-19"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,18,32,3066,4,"M-07,M-08,M-16,M-19"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,24,2158,4,"M-07,M-08,M-16,M-19"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,20,32,9550,4,"M-07,M-08,M-16,M-19"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,28,16200,3,"M-07,M-08,M-19"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,20,27,9550,3,"M-17,M-18,M-20"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,22,6051,2,"M-01,M-02"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,1,19,14349,2,"M-01,M-02"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,24,22,4640,2,"M-01,M-02"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,16,22,9223,2,"M-01,M-02"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,21,22,2997,2,"M-01,M-02"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,13,8922,2,"M-01,M-02"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,2,21,13635,2,"M-01,M-02"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,14,2158,2,"M-01,M-02"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,20,22,9550,2,"M-01,M-02"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,20,6051,2,"M-05,M-06"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,1,17,14349,2,"M-05,M-06"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,24,20,4640,2,"M-05,M-06"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,16,20,9223,2,"M-05,M-06"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,2,19,13635,2,"M-05,M-06"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,21,20,2997,2,"M-05,M-06"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,11,8922,2,"M-05,M-06"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,12,2158,2,"M-05,M-06"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,20,20,9550,2,"M-05,M-06"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,1,31,11171,2,"M-07,M-08"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,25,32,13971,2,"M-07,M-08"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,18,23,3066,2,"M-09,M-10"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,19,16200,2,"M-09,M-10"
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,18,22,3066,1,M-01
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,19,23,14265,1,M-09
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,26,6051,1,M-13
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,1,23,14349,1,M-13
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,24,26,4640,1,M-13
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,2,25,13635,1,M-13
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,16,26,9223,1,M-13
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,17,8922,1,M-13
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,21,26,2997,1,M-13
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,18,2158,1,M-13
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,19,26,14265,1,M-13
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,18,26,3066,1,M-13
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,22,16200,1,M-13
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,23,26,13869,1,M-13
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,8,16,6513,1,M-14
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,33,6051,1,M-15
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,24,33,4640,1,M-15
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,1,30,14349,1,M-15
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,16,33,9223,1,M-15
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,2,32,13635,1,M-15
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,24,8922,1,M-15
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,21,33,2997,1,M-15
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,25,2158,1,M-15
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,18,33,3066,1,M-15
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,29,16200,1,M-15
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,19,32,14265,1,M-19
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,23,32,13869,1,M-19
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,25,32,1728,1,M-19
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,0,23,16200,1,M-20
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,18,27,12875,1,M-20
